Week,Meeting Date,Date ISO,Contractor,TPI,Construction,Purchasing,Warranty,Responses,Priority,Suggested Focus,Status,Meeting Time,Owner,Notes
5,"Wednesday, September 9, 2026",2026-09-09,Stonehenge,8.4,8.4,8.1,8.7,9,Standard Review,Tighten consistency and communication,Not Scheduled,,Brendan,
5,"Wednesday, September 9, 2026",2026-09-09,IGOTPOOP,8.5,8.5,,,4,Standard Review,Tighten consistency and communication,Not Scheduled,,Brendan,
6,"Wednesday, September 16, 2026",2026-09-16,R1 Roofing,8.5,7.8,9.8,,2,Standard Review,Tighten consistency and communication,Not Scheduled,,Brendan,
6,"Wednesday, September 16, 2026",2026-09-16,WB Roofing,8.5,9.0,8.1,8.1,9,Standard Review,Tighten consistency and communication,Not Scheduled,,Brendan,
6,"Wednesday, September 16, 2026",2026-09-16,MLD,8.6,8.4,8.8,8.8,9,Standard Review,Tighten consistency and communication,Not Scheduled,,Brendan,
6,"Wednesday, September 16, 2026",2026-09-16,Cade Builder Services,8.7,8.9,8.4,,3,Standard Review,Tighten consistency and communication,Not Scheduled,,Brendan,
7,"Wednesday, September 23, 2026",2026-09-23,Provue,8.7,8.9,9.5,7.7,9,Standard Review,Tighten consistency and communication,Not Scheduled,,Brendan,
7,"Wednesday, September 23, 2026",2026-09-23,Summit Waterproofing,8.7,8.6,8.8,8.8,7,Standard Review,Tighten consistency and communication,Not Scheduled,,Brendan,
7,"Wednesday, September 23, 2026",2026-09-23,Alpine Fireplace,8.8,9.3,7.7,9.0,9,Strong Partner Review,Reinforce strengths and address small gaps,Not Scheduled,,Brendan,
7,"Wednesday, September 23, 2026",2026-09-23,Surge Electric,8.8,9.0,8.2,,2,Strong Partner Review,Reinforce strengths and address small gaps,Not Scheduled,,Brendan,
8,"Wednesday, September 30, 2026",2026-09-30,UDC,8.8,8.4,9.6,9.0,9,Strong Partner Review,Reinforce strengths and address small gaps,Not Scheduled,,Brendan,
8,"Wednesday, September 30, 2026",2026-09-30,Fashion Cabinets,8.9,9.2,8.9,8.5,9,Strong Partner Review,Reinforce strengths and address small gaps,Not Scheduled,,Brendan,
8,"Wednesday, September 30, 2026",2026-09-30,JD Concrete,8.9,9.5,7.9,,7,Strong Partner Review,Reinforce strengths and address small gaps,Not Scheduled,,Brendan,
8,"Wednesday, September 30, 2026",2026-09-30,Platinum Woodwork,8.9,8.5,9.6,,4,Strong Partner Review,Reinforce strengths and address small gaps,Not Scheduled,,Brendan,
9,"Wednesday, October 7, 2026",2026-10-07,Contract Appliance,9.0,9.0,8.0,10.0,6,Strong Partner Review,Reinforce strengths and address small gaps,Not Scheduled,,Brendan,
9,"Wednesday, October 7, 2026",2026-10-07,Delta Pro,9.0,8.5,,10.0,5,Strong Partner Review,Reinforce strengths and address small gaps,Not Scheduled,,Brendan,
9,"Wednesday, October 7, 2026",2026-10-07,Everlast,9.0,9.0,8.9,9.2,9,Strong Partner Review,Reinforce strengths and address small gaps,Not Scheduled,,Brendan,
9,"Wednesday, October 7, 2026",2026-10-07,Premier Insulation,9.0,8.6,9.8,9.1,9,Strong Partner Review,Reinforce strengths and address small gaps,Not Scheduled,,Brendan,
10,"Wednesday, October 14, 2026",2026-10-14,Sunpro Exterior Doors,9.0,9.0,9.6,8.2,5,Strong Partner Review,Reinforce strengths and address small gaps,Not Scheduled,,Brendan,
10,"Wednesday, October 14, 2026",2026-10-14,American Curb Cut,9.1,9.1,,,4,Strong Partner Review,Reinforce strengths and address small gaps,Not Scheduled,,Brendan,
10,"Wednesday, October 14, 2026",2026-10-14,Air Express,9.2,,8.9,9.5,3,Strong Partner Review,Reinforce strengths and address small gaps,Not Scheduled,,Brendan,
10,"Wednesday, October 14, 2026",2026-10-14,MR Paint,9.2,9.0,9.4,9.2,8,Strong Partner Review,Reinforce strengths and address small gaps,Not Scheduled,,Brendan,
11,"Wednesday, October 21, 2026",2026-10-21,Sunpro Framing Material,9.2,8.8,9.7,9.7,8,Strong Partner Review,Reinforce strengths and address small gaps,Not Scheduled,,Brendan,
11,"Wednesday, October 21, 2026",2026-10-21,Sunpro/Kyle Framing,9.2,9.2,,,4,Strong Partner Review,Reinforce strengths and address small gaps,Not Scheduled,,Brendan,
11,"Wednesday, October 21, 2026",2026-10-21,Nova Lighting,9.4,9.4,9.7,9.1,9,Top Partner Review,Recognition and preferred partner alignment,Not Scheduled,,Brendan,
11,"Wednesday, October 21, 2026",2026-10-21,Vanguard Energy,9.4,9.4,,,4,Top Partner Review,Recognition and preferred partner alignment,Not Scheduled,,Brendan,
12,"Wednesday, October 28, 2026",2026-10-28,Atlas Engineering,9.7,9.7,,,3,Top Partner Review,Recognition and preferred partner alignment,Not Scheduled,,Brendan,
12,"Wednesday, October 28, 2026",2026-10-28,BGW,9.8,9.9,9.6,10.0,9,Top Partner Review,Recognition and preferred partner alignment,Not Scheduled,,Brendan,
12,"Wednesday, October 28, 2026",2026-10-28,DLM,9.8,9.7,,10.0,5,Top Partner Review,Recognition and preferred partner alignment,Not Scheduled,,Brendan,
